Miami Dolphins,11,5,0,.688,323,226,97,6.1,1.0,7.1,0.0,7.1,AFC East,divwin,2000
Indianapolis Colts,10,6,0,.625,429,326,103,6.4,1.5,7.9,7.1,0.8,AFC East,wildcard,2000
New York Jets,9,7,0,.563,321,321,0,0.0,3.5,3.5,1.4,2.2,AFC East,missed,2000
Buffalo Bills,8,8,0,.500,315,350,-35,-2.2,2.2,0.0,0.5,-0.5,AFC East,missed,2000
New England Patriots,5,11,0,.313,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,AFC East,missed,2000
Tennessee Titans,13,3,0,.813,346,191,155,9.7,-1.3,8.3,1.5,6.8,AFC Central,divwin,2000
Baltimore Ravens,12,4,0,.750,333,165,168,10.5,-2.5,8.0,0.0,8.0,AFC Central,wildcard,2000
Pittsburgh Steelers,9,7,0,.563,321,255,66,4.1,-0.2,3.9,0.6,3.3,AFC Central,missed,2000
Jacksonville Jaguars,7,9,0,.438,367,327,40,2.5,-1.4,1.1,3.2,-2.1,AFC Central,missed,2000
Cincinnati Bengals,4,12,0,.250,185,359,-174,-10.9,0.4,-10.5,-8.1,-2.4,AFC Central,missed,2000
Cleveland Browns,3,13,0,.188,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,AFC Central,missed,2000
Oakland Raiders,12,4,0,.750,479,299,180,11.3,-1.5,9.7,8.0,1.8,AFC West,divwin,2000
Denver Broncos,11,5,0,.688,485,369,116,7.3,-2.2,5.0,7.8,-2.7,AFC West,wildcard,2000
Kansas City Chiefs,7,9,0,.438,355,354,1,0.1,0.6,0.6,0.1,0.6,AFC West,missed,2000
Seattle Seahawks,6,10,0,.375,320,405,-85,-5.3,1.6,-3.7,-1.4,-2.3,AFC West,missed,2000
San Diego Chargers,1,15,0,.063,269,440,-171,-10.7,2.6,-8.1,-3.7,-4.4,AFC West,missed,2000
New York Giants,12,4,0,.750,328,246,82,5.1,-2.7,2.4,-1.3,3.8,NFC East,divwin,2000
Philadelphia Eagles,11,5,0,.688,351,245,106,6.6,-3.6,3.1,1.0,2.1,NFC East,wildcard,2000
Washington Redskins,8,8,0,.500,281,269,12,0.8,0.2,1.0,-2.9,3.8,NFC East,missed,2000
Dallas Cowboys,5,11,0,.313,294,361,-67,-4.2,-0.4,-4.6,-1.5,-3.0,NFC East,missed,2000
Arizona Cardinals,3,13,0,.188,210,443,-233,-14.6,-0.7,-15.2,-7.2,-8.1,NFC East,missed,2000
Minnesota Vikings,11,5,0,.688,397,371,26,1.6,0.3,1.9,4.3,-2.3,NFC Central,divwin,2000
Tampa Bay Buccaneers,10,6,0,.625,388,269,119,7.4,-0.1,7.3,3.4,3.9,NFC Central,wildcard,2000
Green Bay Packers,9,7,0,.563,353,323,30,1.9,0.6,2.5,1.8,0.7,NFC Central,missed,2000
Detroit Lions,9,7,0,.563,307,307,0,0.0,1.4,1.4,-0.1,1.5,NFC Central,missed,2000
Chicago Bears,5,11,0,.313,216,355,-139,-8.7,2.4,-6.3,-6.4,0.1,NFC Central,missed,2000
New Orleans Saints,10,6,0,.625,354,305,49,3.1,-2.2,0.9,-1.2,2.1,NFC West,divwin,2000
St. Louis Rams,10,6,0,.625,540,471,69,4.3,-1.2,3.1,12.6,-9.5,NFC West,wildcard,2000
Carolina Panthers,7,9,0,.438,310,310,0,0.0,-1.1,-1.1,-3.6,2.5,NFC West,missed,2000
San Francisco 49ers,6,10,0,.375,388,422,-34,-2.1,-1.7,-3.8,1.7,-5.5,NFC West,missed,2000
Atlanta Falcons,4,12,0,.250,252,413,-161,-10.1,1.5,-8.6,-5.7,-2.9,NFC West,missed,2000
