New England Patriots,10,6,0,.625,427,285,142,8.9,2.3,11.2,6.7,4.5,AFC East,divwin,2009
New York Jets,9,7,0,.563,348,236,112,7.0,1.6,8.6,1.1,7.5,AFC East,wildcard,2009
Miami Dolphins,7,9,0,.438,360,390,-30,-1.9,3.6,1.7,2.9,-1.2,AFC East,missed,2009
Buffalo Bills,6,10,0,.375,258,326,-68,-4.3,2.4,-1.8,-4.5,2.7,AFC East,missed,2009
Cincinnati Bengals,10,6,0,.625,305,291,14,0.9,-0.2,0.7,-2.5,3.2,AFC North,divwin,2009
Baltimore Ravens,9,7,0,.563,391,261,130,8.1,-0.7,7.5,2.6,4.9,AFC North,wildcard,2009
Pittsburgh Steelers,9,7,0,.563,368,324,44,2.8,-1.1,1.7,1.0,0.7,AFC North,missed,2009
Cleveland Browns,5,11,0,.313,245,375,-130,-8.1,-0.3,-8.4,-6.0,-2.4,AFC North,missed,2009
Indianapolis Colts,14,2,0,.875,416,307,109,6.8,-0.9,5.9,4.4,1.5,AFC South,divwin,2009
Houston Texans,9,7,0,.563,388,333,55,3.4,-1.5,2.0,2.7,-0.7,AFC South,missed,2009
Tennessee Titans,8,8,0,.500,354,402,-48,-3.0,0.2,-2.8,0.9,-3.6,AFC South,missed,2009
Jacksonville Jaguars,7,9,0,.438,290,380,-90,-5.6,-0.9,-6.5,-3.8,-2.6,AFC South,missed,2009
San Diego Chargers,13,3,0,.813,454,320,134,8.4,-1.7,6.6,6.4,0.2,AFC West,divwin,2009
Denver Broncos,8,8,0,.500,326,324,2,0.1,0.2,0.3,-1.0,1.3,AFC West,missed,2009
Oakland Raiders,5,11,0,.313,197,379,-182,-11.4,1.1,-10.3,-8.7,-1.6,AFC West,missed,2009
Kansas City Chiefs,4,12,0,.250,294,424,-130,-8.1,-0.3,-8.4,-2.5,-5.9,AFC West,missed,2009
Dallas Cowboys,11,5,0,.688,361,250,111,6.9,0.2,7.1,0.4,6.7,NFC East,divwin,2009
Philadelphia Eagles,11,5,0,.688,429,337,92,5.8,0.2,6.0,5.8,0.2,NFC East,wildcard,2009
New York Giants,8,8,0,.500,402,427,-25,-1.6,1.6,0.1,4.6,-4.5,NFC East,missed,2009
Washington Redskins,4,12,0,.250,266,336,-70,-4.4,-0.2,-4.6,-5.5,1.0,NFC East,missed,2009
Minnesota Vikings,12,4,0,.750,470,312,158,9.9,-2.7,7.2,6.6,0.6,NFC North,divwin,2009
Green Bay Packers,11,5,0,.688,461,297,164,10.3,-2.9,7.4,6.3,1.1,NFC North,wildcard,2009
Chicago Bears,7,9,0,.438,327,375,-48,-3.0,-0.9,-3.9,-1.9,-2.0,NFC North,missed,2009
Detroit Lions,2,14,0,.125,262,494,-232,-14.5,0.1,-14.4,-5.2,-9.2,NFC North,missed,2009
New Orleans Saints,13,3,0,.813,510,341,169,10.6,0.2,10.8,11.2,-0.5,NFC South,divwin,2009
Atlanta Falcons,9,7,0,.563,363,325,38,2.4,2.7,5.0,2.7,2.3,NFC South,missed,2009
Carolina Panthers,8,8,0,.500,315,308,7,0.4,3.5,3.9,-0.6,4.5,NFC South,missed,2009
Tampa Bay Buccaneers,3,13,0,.188,244,400,-156,-9.8,4.1,-5.6,-4.6,-1.1,NFC South,missed,2009
Arizona Cardinals,10,6,0,.625,375,325,50,3.1,-3.4,-0.3,0.1,-0.4,NFC West,divwin,2009
San Francisco 49ers,8,8,0,.500,330,281,49,3.1,-3.0,0.1,-2.9,3.0,NFC West,missed,2009
Seattle Seahawks,5,11,0,.313,280,390,-110,-6.9,-2.4,-9.3,-5.0,-4.4,NFC West,missed,2009
St. Louis Rams,1,15,0,.063,175,436,-261,-16.3,-1.1,-17.4,-11.7,-5.8,NFC West,missed,2009
